duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_cre,attack_type
511,icmp,eco_i,S0,4351,19596,1,0,0,6,0,1,4,0,0,1,3,probe
193,udp,dns,RSTO,9642,3815,0,1,0,0,1,1,0,0,0,2,3,normal
1179,icmp,http,SH,27178,223,0,0,2,2,0,0,3,0,0,0,1,dos
454,udp,smtp,RSTR,2691,6666,0,0,0,6,0,1,2,0,0,9,0,normal
1029,icmp,telnet,REJ,7600,16128,0,1,1,6,0,1,4,0,0,8,1,probe
465,icmp,ftp,REJ,5819,4806,0,0,0,3,0,1,3,0,0,3,2,probe
47,icmp,telnet,REJ,661,776,0,1,0,1,0,0,2,0,0,8,4,probe
317,icmp,smtp,S0,2082,4364,1,1,0,4,0,1,2,0,0,6,1,normal
240,tcp,finger,RSTO,1155,455,0,0,0,6,0,1,6,0,1,3,1,u2r
3069,icmp,telnet,RSTO,144191,318,0,2,1,1,1,0,5,0,0,2,4,dos
2810,tcp,finger,SF,116379,20,1,1,0,2,1,0,5,0,0,6,1,dos
747,tcp,telnet,REJ,77568,369,1,2,0,3,0,0,1,0,0,2,4,dos
53,udp,smtp,RSTO,213,243,1,1,0,3,3,1,6,0,0,5,3,r2l
202,icmp,finger,RSTO,114,300,0,0,0,0,2,1,6,0,0,5,1,r2l
827,udp,smtp,RSTO,4302,13850,1,0,0,4,0,1,0,0,0,4,4,probe
2718,tcp,finger,SF,87275,300,0,1,1,3,0,0,5,0,0,2,0,dos
175,udp,ssh,SH,1091,970,1,1,0,0,1,1,5,1,1,7,2,u2r
144,udp,ftp,RSTR,434,840,0,1,0,6,4,1,1,0,0,5,1,r2l
2112,tcp,finger,SH,31047,152,1,2,2,4,1,0,0,0,0,6,1,dos
848,udp,ftp,S0,7415,12654,1,0,0,5,0,1,0,0,0,5,1,normal
303,tcp,smtp,RSTO,1459,12721,0,0,1,0,1,0,2,0,0,4,2,probe
1613,udp,telnet,S0,148138,300,0,1,0,0,0,0,1,0,0,2,3,dos
341,udp,dns,SH,774,1375,0,1,0,2,1,1,5,1,0,5,0,u2r
48,icmp,finger,RSTO,206,354,1,1,0,0,0,1,4,0,1,3,0,u2r
97,udp,smtp,S0,2646,6732,0,1,0,0,0,1,4,0,0,3,0,probe
366,udp,ftp,RSTR,329,917,0,1,0,4,3,0,1,0,0,2,1,r2l
183,icmp,telnet,SF,80,397,1,0,0,2,5,0,4,0,0,1,4,r2l
532,udp,ssh,REJ,2192,6261,0,1,0,2,1,0,4,0,0,1,3,probe
359,udp,finger,RSTO,706,394,0,0,0,4,0,1,8,0,1,6,4,u2r
1115,icmp,ftp,RSTR,20092,116,0,1,1,3,0,0,3,0,0,1,1,dos
3642,tcp,telnet,REJ,80730,130,1,1,1,1,1,0,0,0,0,3,1,dos
139,udp,smtp,SF,1583,999,1,0,0,2,0,1,4,1,1,0,0,u2r
120,icmp,smtp,RSTR,343,869,1,0,0,5,4,0,4,0,0,1,2,r2l
165,udp,eco_i,SH,2470,882,1,0,1,4,0,0,1,0,0,9,2,probe
660,tcp,http,REJ,1888,3620,1,0,0,3,1,1,4,0,0,7,0,probe
126,icmp,smtp,SH,4305,752,0,1,1,1,0,1,3,0,0,2,3,probe
746,udp,http,RSTO,3371,8295,1,1,1,0,0,1,2,0,0,6,4,probe
1255,icmp,finger,SH,8812,9206,0,1,0,0,0,1,0,0,0,3,4,normal
70,icmp,ftp,RSTR,1093,1675,1,1,0,4,0,1,4,1,1,5,2,u2r
177,icmp,finger,RSTO,76,519,0,0,0,1,2,0,5,0,0,0,2,r2l
362,icmp,http,S0,350,210,0,1,0,5,4,0,2,0,0,5,2,r2l
108,udp,eco_i,RSTR,8137,4484,0,1,1,3,0,1,4,0,0,3,4,probe
4318,icmp,smtp,RSTR,35584,284,0,0,0,0,0,0,3,0,0,7,2,dos
1615,tcp,ftp,RSTR,7627,9637,0,0,0,2,0,1,0,0,0,4,2,normal
271,icmp,ftp,RSTR,133,986,0,1,0,4,3,0,4,0,0,1,1,r2l
34,tcp,smtp,S0,888,91,1,0,0,3,0,1,6,1,1,3,3,u2r
159,tcp,ftp,RSTR,5258,5400,0,1,1,4,1,0,1,0,0,6,0,probe
1445,udp,http,S0,42871,55,0,0,0,0,1,0,5,0,0,4,1,dos
94,icmp,http,S0,612,248,0,0,0,5,5,1,6,0,0,3,2,r2l
1572,udp,finger,SH,52644,318,1,1,2,4,0,0,2,0,0,7,0,dos
590,tcp,ftp,SF,5586,13366,1,0,1,5,0,0,3,0,0,2,1,probe
256,tcp,eco_i,RSTR,630,728,1,1,0,6,4,1,4,0,0,7,0,r2l
329,udp,telnet,SF,1683,10615,0,1,1,2,0,0,3,0,0,3,2,probe
234,udp,http,SH,6029,2084,1,0,0,0,1,1,3,0,0,0,1,probe
80,tcp,ftp,REJ,2959,3363,0,0,0,3,0,1,2,0,0,9,1,normal
489,udp,telnet,SH,1470,437,1,0,0,0,1,1,8,1,1,6,2,u2r
99,udp,dns,S0,6515,7865,0,0,1,3,1,0,3,0,0,9,3,probe
123,udp,telnet,RSTR,7497,13288,0,0,1,1,1,0,0,0,0,7,0,probe
135,udp,ftp,RSTR,217,290,0,0,0,3,5,0,3,0,0,2,2,r2l
263,icmp,ftp,S0,532,123,0,0,0,4,4,0,1,0,0,5,1,r2l
2885,udp,smtp,S0,97074,100,0,0,1,3,1,0,3,0,0,7,1,dos
835,udp,http,SH,1265,10915,0,0,1,0,0,1,2,0,0,5,4,probe
145,udp,dns,SH,308,611,1,1,0,4,5,0,3,0,0,2,0,r2l
99,tcp,ssh,S0,340,109,0,1,0,0,0,1,3,1,1,4,3,u2r
1186,icmp,ssh,S0,80679,258,0,2,0,1,0,0,5,0,0,1,2,dos
690,icmp,ftp,REJ,2410,17183,1,1,1,0,0,1,0,0,0,9,0,probe
4443,udp,telnet,RSTO,72423,242,0,1,2,4,1,0,1,0,0,1,1,dos
579,udp,eco_i,SH,5420,10739,0,1,0,2,0,1,0,0,0,7,2,normal
358,udp,eco_i,S0,3465,21103,0,0,0,2,0,0,2,0,0,0,2,probe
22,icmp,http,S0,1307,1193,1,1,0,0,1,1,9,1,1,8,3,u2r
2499,icmp,http,SH,43013,324,1,1,0,3,1,0,1,0,0,5,4,dos
1190,tcp,eco_i,SH,6972,10204,0,1,0,0,1,1,1,0,0,3,1,normal
3161,icmp,smtp,S0,86555,115,0,1,2,1,0,0,3,0,0,9,3,dos
565,icmp,telnet,SF,736,3072,0,0,1,4,0,1,3,0,0,5,1,probe
